url,crawl_status,status_code,content_type,h1,h2,page_title,meta_description,canonical_tag,robots_txt,redirect_url,meta_robots,x_robots_tag
https://accounts.google.com/InteractiveLogin?continue=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D6030499169676119988%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D6030499169676119988%26from%3Dpencil&passive=1209600&service=blogger&ifkv=AdBytiOItVlJTiQc50T9fxeW5ulGYG67tMX8mBbWuTnDbvdclGnXyddh6QF59ieZID16YXZp2SFfIQ,found,302,text/html; charset=UTF-8,,,,,,allowed,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D6030499169676119988%26from%3Dpencil&followup=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D6030499169676119988%26from%3Dpencil&ifkv=AdBytiNZd3p4JjYWjgSqQxKVO1HBdsIjyhvMVylffST8BZOAIWNnSn8PQVPEEM490ROrBCVnaDx9DA&passive=1209600&service=blogger&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-770515813%3A1748820585636200,,
https://www.blogger.com/post-edit.g?blogID=3928496115469874446&postID=6030499169676119988&from=pencil,found,302,text/html; charset=UTF-8,,,,,,allowed,https://accounts.google.com/ServiceLogin?service=blogger&passive=1209600&continue=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D6030499169676119988%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D6030499169676119988%26from%3Dpencil,,
https://www.blogger.com/share-post.g?blogID=3928496115469874446&postID=3308237818814214664&target=blog,method not allowed,405,text/html; charset=UTF-8,,,,,,allowed,,,
https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjAlVanMfCAL0ytyLkqcLLUHkEtaD5h6Jf1Tl-G2SE7OrCR-e41dilms-AWsjfKtM30KbnXXgshNyEwObgg6claMOX_XB4b8ON0GY-Gab6R5NYtVs_QHlOsEUdgvWuV1bIHCI4WcWKOuXX7/s1600/Anandabazar%252Bpatrika%252Bpujabarshiki%252B2015%2525281422%252529%252Bfree%252Bdownload%252BPDF.jpg,ok,200,image/jpeg,,,,,,allowed,,,
https://banglapdfall.blogspot.com/2018/01/raj-kahini.html,canonicalised,200,text/html; charset=UTF-8,,Search This Blog | Facebook Badge | Popular Posts | Total Pageviews | All Books List | About Me,Bengali Pdf Books: Raj Kahini,,http://banglapdfall.blogspot.com/2018/01/raj-kahini.html,allowed,,,
https://banglapdfall.blogspot.com/2014/05/kamsutra-in-bengali-by-vatsyayana.html,canonicalised,200,text/html; charset=UTF-8,,Search This Blog | Facebook Badge | Popular Posts | Total Pageviews | All Books List | About Me,Bengali Pdf Books: Kamsutra In Bengali By Vatsyayana,,http://banglapdfall.blogspot.com/2014/05/kamsutra-in-bengali-by-vatsyayana.html,allowed,,,
https://banglapdfall.blogspot.com/2014/09/,canonicalised,200,text/html; charset=UTF-8,,Search This Blog | Facebook Badge | Popular Posts | Total Pageviews | All Books List | About Me,Bengali Pdf Books: September 2014,,http://banglapdfall.blogspot.com/2014/09/,allowed,,,
https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fpriyabrata.rana.90,ok,200,"text/html; charset=""utf-8""",,,,,,allowed,,,
https://www.facebook.com/priyabrata.rana.90,found,302,"text/html; charset=""utf-8""",,,,,,allowed,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fpriyabrata.rana.90,,
https://www.istockphoto.com/bot-wall?returnUrl=%2Fgoogleimages.php%3Fid%3D11394138%26platform%3Dblogger%26langregion%3Den_GB,ok,200,text/html; charset=utf-8,,,,,,allowed,,,
https://www.istockphoto.com/googleimages.php?id=11394138&platform=blogger&langregion=en_GB,found,302,,,,,,,allowed,https://www.istockphoto.com/bot-wall?returnUrl=%2Fgoogleimages.php%3Fid%3D11394138%26platform%3Dblogger%26langregion%3Den_GB,,
http://www.istockphoto.com/googleimages.php?id=11394138&platform=blogger&langregion=en_GB,moved permanently,301,text/html,,,,,,allowed,https://www.istockphoto.com/googleimages.php?id=11394138&platform=blogger&langregion=en_GB,,
https://www.blogger.com/share-post.g?blogID=3928496115469874446&postID=4727307761130049717&target=blog,method not allowed,405,text/html; charset=UTF-8,,,,,,allowed,,,
https://banglapdfall.blogspot.com/2015/,canonicalised,200,text/html; charset=UTF-8,,Search This Blog | Facebook Badge | Popular Posts | Total Pageviews | All Books List | About Me,Bengali Pdf Books: 2015,,http://banglapdfall.blogspot.com/2015/,allowed,,,
https://banglapdfall.blogspot.com/2016/09/,canonicalised,200,text/html; charset=UTF-8,,Search This Blog | Facebook Badge | Popular Posts | Total Pageviews | All Books List | About Me,Bengali Pdf Books: September 2016,,http://banglapdfall.blogspot.com/2016/09/,allowed,,,
https://banglapdfall.blogspot.com/2014/05/pandob-goyenda-by-soshtipodo-chatterji_7942.html,canonicalised,200,text/html; charset=UTF-8,,Search This Blog | Facebook Badge | Popular Posts | Total Pageviews | All Books List | About Me,Bengali Pdf Books: Pandob Goyenda By Soshtipodo Chatterji Part 20,,http://banglapdfall.blogspot.com/2014/05/pandob-goyenda-by-soshtipodo-chatterji_7942.html,allowed,,,
https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgDp94DMQE9tHnLzyHs8Baqym7RbK72HeHNQ4PB69zfnqOgdenWDsUmfz0kJMNj6IwYljBOwCtCEqBRZXLzhjKr38BSUvLnTf-6UDEzFwfIwS0sjcy1wAM2BsJCLpl4gZieVBmxCfUZJsfz/s1600/Shatabarsher-Sera-Rahasya-Upanyas-pdf.jpg,ok,200,image/jpeg,,,,,,allowed,,,
https://developers.facebook.com/docs/plugins/,ok,200,"text/html; charset=""utf-8""",,,,,,allowed,,,
https://www.facebook.com/badges/,found,302,"text/html; charset=""utf-8""",,,,,,allowed,https://developers.facebook.com/docs/plugins/,,
https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D5875723303153698814%26from%3Dpencil&followup=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D3928496115469874446%26postID%3D5875723303153698814%26from%3Dpencil&ifkv=AdBytiOUrPP_A4gDY59M8KKy7QSBPzJAYaLq9KrU2WO65RU4fQL32RDaO-_6UHWG4HvpsBP27XtBGA&passive=1209600&service=blogger&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S857050541%3A1748820586582277,ok,200,text/html; charset=utf-8,,,,,,allowed,,,
https://accounts.google.com/ServiceLogin?service=blogger&passive=1209600&continue=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D5875723303153698814%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D5875723303153698814%26from%3Dpencil,found,302,application/binary,,,,,,allowed,https://accounts.google.com/InteractiveLogin?continue=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D5875723303153698814%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D3928496115469874446%26postID%3D5875723303153698814%26from%3Dpencil&passive=1209600&service=blogger&ifkv=AdBytiPFSkRbAMBf5vz06rjWXaM-81F3CNSQz6dNTDFtV9bb4VwlrrmG5HOn0PtoBhMF-L54LELpNw,,
