url,crawl_status,status_code,content_type,h1,page_title,meta_description,canonical_tag,robots_txt,redirect_url,meta_robots,x_robots_tag
https://www.allmagazine.in/2024/03/desh-17-december-2023-bengali-patrika.html,ok,200,text/html; charset=UTF-8,Desh 17 December 2023 । Bengali Patrika ebook PDF,Desh 17 December 2023 । Bengali Patrika ebook PDF - All Indian Magazine & eBooks,,https://www.allmagazine.in/2024/03/desh-17-december-2023-bengali-patrika.html,allowed,,,"all,noodp"
https://www.allmagazine.in/2024/03/anandamela-20-december-2023-bangla.html,ok,200,text/html; charset=UTF-8,Anandamela 20 December 2023 Bangla magazine pdf,Anandamela 20 December 2023 Bangla magazine pdf - All Indian Magazine & eBooks,,https://www.allmagazine.in/2024/03/anandamela-20-december-2023-bangla.html,allowed,,,"all,noodp"
https://www.blogger.com/share-post.g?blogID=5503982131985583276&postID=2448558862828053350&target=facebook,method not allowed,405,text/html; charset=UTF-8,,,,,allowed,,,
https://www.blogger.com/share-post.g?blogID=5503982131985583276&postID=2646584547458636773&target=twitter,method not allowed,405,text/html; charset=UTF-8,,,,,allowed,,,
https://www.blogger.com/share-post.g?blogID=5503982131985583276&postID=7180549341443613265&target=email,method not allowed,405,text/html; charset=UTF-8,,,,,allowed,,,
https://www.blogger.com/share-post.g?blogID=5503982131985583276&postID=2110204573748588703&target=pinterest,method not allowed,405,text/html; charset=UTF-8,,,,,allowed,,,
https://www.blogger.com/share-post.g?blogID=5503982131985583276&postID=6449732000408734915&target=email,method not allowed,405,text/html; charset=UTF-8,,,,,allowed,,,
https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D5503982131985583276%26postID%3D8326486066800319512%26from%3Dpencil&followup=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D5503982131985583276%26postID%3D8326486066800319512%26from%3Dpencil&ifkv=AdBytiPAUCcSi9Uvn_BVIqo0yPOtPgynIuOo5I39SZvqXDISzwx7FfKP6cE6Zm3Lke65wacgQVvbsw&passive=1209600&service=blogger&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1123408385%3A1748831433517017,ok,200,text/html; charset=utf-8,,,,,allowed,,,
https://accounts.google.com/ServiceLogin?service=blogger&passive=1209600&continue=https://www.blogger.com/post-edit.g?blogID%3D5503982131985583276%26postID%3D8326486066800319512%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D5503982131985583276%26postID%3D8326486066800319512%26from%3Dpencil,found,302,application/binary,,,,,allowed,https://accounts.google.com/InteractiveLogin?continue=https://www.blogger.com/post-edit.g?blogID%3D5503982131985583276%26postID%3D8326486066800319512%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D5503982131985583276%26postID%3D8326486066800319512%26from%3Dpencil&passive=1209600&service=blogger&ifkv=AdBytiOWfXov2pSkukXDpiPth4xU6NOR-paJjiXvcQdJ438RgxQmziw2axrvyMVsRzjfdhgO7rwxlA,,
https://accounts.google.com/InteractiveLogin?continue=https://www.blogger.com/post-edit.g?blogID%3D5503982131985583276%26postID%3D8326486066800319512%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D5503982131985583276%26postID%3D8326486066800319512%26from%3Dpencil&passive=1209600&service=blogger&ifkv=AdBytiOWfXov2pSkukXDpiPth4xU6NOR-paJjiXvcQdJ438RgxQmziw2axrvyMVsRzjfdhgO7rwxlA,found,302,text/html; charset=UTF-8,,,,,allowed,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D5503982131985583276%26postID%3D8326486066800319512%26from%3Dpencil&followup=https%3A%2F%2Fwww.blogger.com%2Fpost-edit.g%3FblogID%3D5503982131985583276%26postID%3D8326486066800319512%26from%3Dpencil&ifkv=AdBytiPAUCcSi9Uvn_BVIqo0yPOtPgynIuOo5I39SZvqXDISzwx7FfKP6cE6Zm3Lke65wacgQVvbsw&passive=1209600&service=blogger&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1123408385%3A1748831433517017,,
https://www.blogger.com/post-edit.g?blogID=5503982131985583276&postID=8326486066800319512&from=pencil,found,302,text/html; charset=UTF-8,,,,,allowed,https://accounts.google.com/ServiceLogin?service=blogger&passive=1209600&continue=https://www.blogger.com/post-edit.g?blogID%3D5503982131985583276%26postID%3D8326486066800319512%26from%3Dpencil&followup=https://www.blogger.com/post-edit.g?blogID%3D5503982131985583276%26postID%3D8326486066800319512%26from%3Dpencil,,
https://www.allmagazine.in/2022/07/sharadiya-anandamela-anandamela.html,ok,200,text/html; charset=UTF-8,Sharadiya Anandamela / Anandamela Pujabarshiki Collection pdf,Sharadiya Anandamela / Anandamela Pujabarshiki Collection pdf - All Indian Magazine & eBooks,,https://www.allmagazine.in/2022/07/sharadiya-anandamela-anandamela.html,allowed,,,"all,noodp"
https://www.blogger.com/share-post.g?blogID=5503982131985583276&postID=7180549341443613265&target=pinterest,method not allowed,405,text/html; charset=UTF-8,,,,,allowed,,,
https://www.blogger.com/share-post.g?blogID=5503982131985583276&postID=6449732000408734915&target=twitter,method not allowed,405,text/html; charset=UTF-8,,,,,allowed,,,
https://www.allmagazine.in/p/privacy-policy.html,ok,200,text/html; charset=UTF-8,Privacy Policy,Privacy Policy - All Indian Magazine & eBooks,,https://www.allmagazine.in/p/privacy-policy.html,allowed,,,"all,noodp"
https://www.blogger.com/share-post.g?blogID=5503982131985583276&postID=8677712232005176458&target=blog,method not allowed,405,text/html; charset=UTF-8,,,,,allowed,,,
https://www.blogger.com/share-post.g?blogID=5503982131985583276&postID=8677712232005176458&target=facebook,method not allowed,405,text/html; charset=UTF-8,,,,,allowed,,,
https://www.allmagazine.in/p/blog-page.html,ok,200,text/html; charset=UTF-8,Sitemap,Sitemap - All Indian Magazine & eBooks,,https://www.allmagazine.in/p/blog-page.html,allowed,,,"all,noodp"
https://www.blogger.com/share-post.g?blogID=5503982131985583276&postID=2646584547458636773&target=email,method not allowed,405,text/html; charset=UTF-8,,,,,allowed,,,
https://www.allmagazine.in/2022/08/anandamela-5th-june-2022-pdf.html,ok,200,text/html; charset=UTF-8,Anandamela 5th June 2022 pdf,Anandamela 5th June 2022 pdf - All Indian Magazine & eBooks,,https://www.allmagazine.in/2022/08/anandamela-5th-june-2022-pdf.html,allowed,,,"all,noodp"
https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FFree-Bengali-Magazines-1075632969128214,ok,200,"text/html; charset=""utf-8""",,,,,allowed,,,
https://www.facebook.com/Free-Bengali-Magazines-1075632969128214,found,302,"text/html; charset=""utf-8""",,,,,allowed,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FFree-Bengali-Magazines-1075632969128214,,
https://www.allmagazine.in/2022/08/desh-2nd-august-2022-bengali-patrika-pdf.html,ok,200,text/html; charset=UTF-8,Desh 2nd August 2022 । Bengali Patrika PDF,Desh 2nd August 2022 । Bengali Patrika PDF - All Indian Magazine & eBooks,,https://www.allmagazine.in/2022/08/desh-2nd-august-2022-bengali-patrika-pdf.html,allowed,,,"all,noodp"
https://www.blogger.com/share-post.g?blogID=5503982131985583276&postID=2448558862828053350&target=email,method not allowed,405,text/html; charset=UTF-8,,,,,allowed,,,
