url,crawl_status,status_code,content_type,h1,page_title,meta_description,canonical_tag,robots_txt,redirect_url,meta_robots,x_robots_tag
https://ebooksworldbd.blogspot.com/2015/,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: 2015,"eBooks World BD is a library of Bangla and English e-Book. You can download free eBooks, PDF, EPUB from this store of ebooks.",http://ebooksworldbd.blogspot.com/2015/,allowed,,,
https://ebooksworldbd.blogspot.com/2014/06/,canonicalised,200,text/html; charset=UTF-8,,Free eBooks Download: June 2014,"eBooks World BD is a library of Bangla and English e-Book. You can download free eBooks, PDF, EPUB from this store of ebooks.",http://ebooksworldbd.blogspot.com/2014/06/,allowed,,,
https://ebooksworldbd.blogspot.com/feeds/1135104522548610591/comments/default,ok,200,application/atom+xml; charset=UTF-8,,,,,allowed,,,
http://ebooksworldbd.blogspot.com/2016/07/dc-rebirth-english-comics-free-download.html,ok,200,text/html; charset=UTF-8,,Free eBooks Download: DC Rebirth English Comics Free Download,,http://ebooksworldbd.blogspot.com/2016/07/dc-rebirth-english-comics-free-download.html,allowed,,,
http://ebooksworldbd.blogspot.com/2016/07/atlas-shrugged-by-ayn-rand-leonard.html,ok,200,text/html; charset=UTF-8,,"Free eBooks Download: Atlas Shrugged By Ayn Rand, Leonard Peikoff",,http://ebooksworldbd.blogspot.com/2016/07/atlas-shrugged-by-ayn-rand-leonard.html,allowed,,,
http://ebooksworldbd.blogspot.com/2016/07/childrens-ebooks-collection-by-roald.html,ok,200,text/html; charset=UTF-8,,Free eBooks Download: Childrens eBooks Collection By Roald Dahl,,http://ebooksworldbd.blogspot.com/2016/07/childrens-ebooks-collection-by-roald.html,allowed,,,
http://ebooksworldbd.blogspot.com/2016/07/masud-rana-series-mullo-ek-koti-taka.html,ok,200,text/html; charset=UTF-8,,Free eBooks Download: Masud Rana Series Mullo Ek Koti Taka Matro Free Download,,http://ebooksworldbd.blogspot.com/2016/07/masud-rana-series-mullo-ek-koti-taka.html,allowed,,,
http://ebooksworldbd.blogspot.com/2015/12/,ok,200,text/html; charset=UTF-8,,Free eBooks Download: December 2015,"eBooks World BD is a library of Bangla and English e-Book. You can download free eBooks, PDF, EPUB from this store of ebooks.",http://ebooksworldbd.blogspot.com/2015/12/,allowed,,,
http://ebooksworldbd.blogspot.com/2014/03/download-comics-from-largest-collection.html,ok,200,text/html; charset=UTF-8,,Free eBooks Download: Download Comics From The Largest Collection,,http://ebooksworldbd.blogspot.com/2014/03/download-comics-from-largest-collection.html,allowed,,,
http://ebooksworldbd.blogspot.com/2014/,ok,200,text/html; charset=UTF-8,,Free eBooks Download: 2014,"eBooks World BD is a library of Bangla and English e-Book. You can download free eBooks, PDF, EPUB from this store of ebooks.",http://ebooksworldbd.blogspot.com/2014/,allowed,,,
